Model,Year,Mileage,V_engine,EngineType,HorsePower,Selector,Color,CarBodyType,Drive,Price
Kia K5 III,2020,4998.0,2.5,Бензин,194.0,автомат,чёрный,седан,передний,2550000.0
Land Rover Range Rover IV Рестайлинг,2020,16974.0,4.4,Дизель,339.0,автомат,серый,внедорожник 5 дв.,полный,11200000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,110.0,автомат,Active,лифтбек,передний,1140000.0
Opel Astra J,2012,155000.0,1.4,Бензин,140.0,автомат,чёрный,хэтчбек 5 дв.,передний,624000.0
Nissan Primera III (P12),2006,184894.0,1.8,Бензин,116.0,автомат,серебристый,универсал 5 дв.,передний,457000.0
Volkswagen Polo V,2013,89000.0,1.6,Бензин,105.0,автомат,серый,седан,передний,575000.0
Honda Civic VIII,2007,161000.0,1.8,Бензин,140.0,автомат,бежевый,седан,передний,676000.0
"Mercedes-Benz S-Класс AMG 63 AMG III (W222, C217) Рестайлинг",2018,35852.0,4.0,Бензин,612.0,автомат,белый,купе,полный,8998000.0
Nissan Pathfinder III,2007,167434.0,2.5,Дизель,174.0,автомат,чёрный,внедорожник 5 дв.,полный,845000.0
Genesis GV80 I,2021,7800.0,2.5,Бензин,249.0,автомат,синий,внедорожник 5 дв.,полный,5199000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,110.0,автомат,Ambition,лифтбек,передний,1234100.0
Mitsubishi Outlander II,2008,290000.0,2.4,Бензин,170.0,вариатор,серебристый,внедорожник 5 дв.,полный,711000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,110.0,автомат,Active,лифтбек,передний,1092900.0
Mercedes-Benz GLE 300 d II (V167),2021,11235.0,2.0,Дизель,245.0,автомат,чёрный,внедорожник 5 дв.,полный,6637000.0
Volkswagen Passat B8,2016,81298.0,1.4,Бензин,150.0,робот,белый,седан,передний,1720000.0
Lamborghini Urus I,2021,17.0,4.0,Бензин,650.0,автомат,чёрный,внедорожник 5 дв.,полный,27750000.0
Volvo XC60 II,2018,71220.0,2.0,Бензин,249.0,автомат,белый,внедорожник 5 дв.,полный,2956701.0
Skoda Rapid II,2021,0.0,1.6,Бензин,90.0,механика,Active,лифтбек,передний,1027900.0
Ford Focus II,2007,146255.0,1.8,Дизель,116.0,механика,серый,седан,передний,319000.0
Audi Q7 II (4M),2015,120501.0,3.0,Дизель,249.0,автомат,белый,внедорожник 5 дв.,полный,3349000.0
Toyota RAV4 III (XA30) Рестайлинг,2010,148000.0,2.0,Бензин,158.0,вариатор,белый,внедорожник 5 дв.,полный,975000.0
Toyota Camry VII (XV50) Рестайлинг,2015,136000.0,2.0,Бензин,150.0,автомат,белый,седан,передний,1310000.0
Nissan X-Trail II Рестайлинг,2012,110473.0,2.0,Бензин,141.0,вариатор,чёрный,внедорожник 5 дв.,полный,1045000.0
Toyota Tundra CrewMax II,2011,225000.0,5.7,Бензин,381.0,автомат,чёрный,пикап двойная кабина,полный,2488000.0
Mitsubishi Lancer IX Рестайлинг,2006,91000.0,1.6,Бензин,98.0,механика,синий,седан,передний,480000.0
Mazda 6 II (GH),2007,118559.0,2.0,Бензин,147.0,автомат,пурпурный,седан,передний,830000.0
Ford Fusion I Рестайлинг,2008,113000.0,1.4,Бензин,80.0,механика,синий,хэтчбек 5 дв.,передний,480000.0
Mercedes-Benz G-Класс AMG 65 AMG I (W463) Рестайлинг 2,2012,126800.0,6.0,Бензин,612.0,автомат,чёрный,внедорожник 5 дв.,полный,6790000.0
BMW 5 серии Gran Turismo 530d xDrive VI (F10/F11/F07),2010,175000.0,3.0,Дизель,245.0,автомат,чёрный,лифтбек,полный,1790000.0
Audi A8 Long III (D4),2011,146000.0,4.2,Бензин,372.0,автомат,чёрный,седан,полный,1200000.0
Ford Focus II Рестайлинг,2008,127230.0,1.6,Бензин,100.0,механика,синий,универсал 5 дв.,передний,495000.0
Volkswagen Caravelle T5 Рестайлинг,2012,150000.0,2.0,Дизель,140.0,механика,белый,минивэн,полный,1649000.0
Mazda CX-5 I,2014,42842.0,2.5,Бензин,192.0,автомат,белый,внедорожник 5 дв.,полный,1877000.0
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,2013,27000.0,1.7,Бензин,83.0,механика,красный,внедорожник 3 дв.,полный,1050000.0
BMW 1 серии 116i II (F20/F21),2011,171000.0,1.6,Бензин,136.0,автомат,чёрный,хэтчбек 5 дв.,задний,849000.0
Lexus RX 200t IV,2016,95600.0,2.0,Бензин,238.0,автомат,белый,внедорожник 5 дв.,полный,3290000.0
LADA (ВАЗ) Vesta SW I,2019,60000.0,1.6,Бензин,106.0,механика,серый,универсал 5 дв.,передний,795000.0
Mercedes-Benz GLC AMG 43 AMG I (X253),2016,75000.0,3.0,Бензин,367.0,автомат,серый,внедорожник 5 дв.,полный,3300000.0
Alfa Romeo Giulia II (952),2017,61000.0,2.0,Бензин,200.0,автомат,синий,седан,задний,2200000.0
BMW X7 30d I (G07),2021,10.0,3.0,Дизель,249.0,автомат,чёрный,внедорожник 5 дв.,полный,8775000.0
Kia Optima IV Рестайлинг,2019,111000.0,2.0,Бензин,150.0,автомат,жёлтый,седан,передний,1080000.0
Land Rover Range Rover Sport II,2014,103000.0,3.0,Дизель,292.0,автомат,серый,внедорожник 5 дв.,полный,3055000.0
Mercedes-Benz GLS 350 d I (X166),2016,37577.0,3.0,Дизель,249.0,автомат,серебристый,внедорожник 5 дв.,полный,4584444.0
Chevrolet Tahoe IV,2016,92504.0,6.2,Бензин,409.0,автомат,коричневый,внедорожник 5 дв.,полный,3900000.0
Volvo XC90 I Рестайлинг,2007,186000.0,2.5,Бензин,210.0,автомат,синий,внедорожник 5 дв.,полный,1025000.0
BMW 5 серии 530i V (E60/E61),2005,316000.0,3.0,Бензин,258.0,автомат,чёрный,седан,задний,700000.0
Land Rover Range Rover Long IV,2014,65500.0,5.0,Бензин,510.0,автомат,чёрный,внедорожник 5 дв.,полный,5550000.0
Ford Mustang VI Рестайлинг,2017,75000.0,2.3,Бензин,317.0,автомат,чёрный,купе,задний,2700000.0
Renault Scenic Grand IV,2017,79000.0,1.6,Дизель,160.0,робот,серый,компактвэн,передний,1689000.0
Mercedes-Benz GL-Класс 350 CDI BlueTEC II (X166),2015,89000.0,3.0,Дизель,249.0,автомат,белый,внедорожник 5 дв.,полный,3495000.0
Opel Vectra B,1995,264079.0,1.6,Бензин,75.0,механика,чёрный,лифтбек,передний,139999.0
Audi A8 I (D2),1997,325000.0,4.2,Бензин,300.0,автомат,серый,седан,полный,350000.0
Audi A3 35 TFSI IV (8Y),2021,0.0,1.4,Бензин,150.0,автомат,35 TFSI tiptronic,седан,передний,2560000.0
Audi Q8 45 TDI I,2021,0.0,3.0,Дизель,249.0,автомат,45 TDI,внедорожник 5 дв.,полный,8657753.0
Kia Sorento II Рестайлинг,2014,67267.0,2.0,Дизель,184.0,автомат,белый,внедорожник 5 дв.,полный,1630000.0
Chevrolet Cruze I,2012,46200.0,1.8,Бензин,141.0,автомат,красный,хэтчбек 5 дв.,передний,670000.0
Renault Kaptur I Рестайлинг,2021,5000.0,1.6,Бензин,114.0,механика,синий,внедорожник 5 дв.,передний,1350000.0
Nissan Qashqai II,2018,44912.0,2.0,Бензин,144.0,вариатор,чёрный,внедорожник 5 дв.,полный,1845000.0
LADA (ВАЗ) 2107,2001,137000.0,1.6,Бензин,75.0,механика,синий,седан,задний,60000.0
Volkswagen Jetta V,2006,285000.0,2.0,Дизель,140.0,робот,бежевый,седан,передний,390000.0
Audi A6 IV (C7),2014,144020.0,2.0,Бензин,180.0,вариатор,белый,седан,передний,888057.0
Land Rover Discovery Sport I,2015,120000.0,2.2,Дизель,150.0,автомат,серый,внедорожник 5 дв.,полный,1645000.0
Mercedes-Benz GLE 450 II (V167),2021,15.0,3.0,Бензин,367.0,автомат,белый,внедорожник 5 дв.,полный,8708860.0
BMW X5 30d IV (G05),2021,0.0,3.0,Дизель,249.0,автомат,xDrive30d M Sport Edition 21,внедорожник 5 дв.,полный,7734600.0
Volvo XC70 II,2011,248545.0,2.4,Дизель,205.0,автомат,чёрный,универсал 5 дв.,полный,1245000.0
Peugeot Expert III,2021,11260.0,2.0,Дизель,150.0,механика,серый,фургон,передний,2125000.0
Volkswagen Polo VI,2020,17794.0,1.4,Бензин,125.0,робот,синий,лифтбек,передний,1449000.0
Zotye T600,2018,62000.0,1.5,Бензин,149.0,механика,белый,внедорожник 5 дв.,передний,745000.0
BMW X5 30d IV (G05),2021,0.0,3.0,Дизель,249.0,автомат,xDrive30d Business Plus,внедорожник 5 дв.,полный,6637900.0
Peugeot 308 I,2011,99500.0,1.6,Бензин,120.0,автомат,белый,хэтчбек 5 дв.,передний,513000.0
Maserati Levante Diesel I,2018,157564.0,3.0,Дизель,275.0,автомат,синий,внедорожник 5 дв.,полный,3950000.0
Mercedes-Benz GLC Coupe 300 I (C253) Рестайлинг,2019,47549.0,2.0,Бензин,249.0,автомат,чёрный,внедорожник 5 дв.,полный,4298000.0
BMW 3 серии 318i V (E90/E91/E92/E93) Рестайлинг,2010,140030.0,2.0,Бензин,136.0,автомат,красный,седан,задний,733000.0
Hyundai Solaris I Рестайлинг,2017,37854.0,1.6,Бензин,123.0,автомат,серый,седан,передний,970000.0
BMW X5 30d IV (G05),2021,0.0,3.0,Дизель,249.0,автомат,xDrive30d M Sport Plus,внедорожник 5 дв.,полный,6765000.0
Mazda CX-30 I,2021,830.0,2.0,Бензин,150.0,автомат,серый,внедорожник 5 дв.,полный,2765000.0
Nissan Juke I,2011,101000.0,1.6,Бензин,190.0,вариатор,чёрный,внедорожник 5 дв.,полный,937000.0
Volkswagen Polo VI,2021,396.0,1.6,Бензин,90.0,механика,белый,лифтбек,передний,1394000.0
BMW X5 30d IV (G05),2021,0.0,3.0,Дизель,249.0,автомат,xDrive30d Business Plus,внедорожник 5 дв.,полный,7119600.0
Hyundai Sonata VII (LF) Рестайлинг,2019,50767.0,2.4,Бензин,188.0,автомат,серый,седан,передний,1634000.0
Porsche Cayenne Diesel II Рестайлинг (958),2016,57537.0,3.0,Дизель,245.0,автомат,белый,внедорожник 5 дв.,полный,4890000.0
Kia Sportage III,2012,80680.0,2.0,Бензин,150.0,механика,коричневый,внедорожник 5 дв.,передний,1080000.0
Chevrolet Niva I,2002,162000.0,1.7,Бензин,80.0,механика,серебристый,внедорожник 5 дв.,полный,169000.0
BMW X5 M50d IV (G05),2021,0.0,3.0,Дизель,400.0,автомат,M50d M Special,внедорожник 5 дв.,полный,10757700.0
Nissan Navara (Frontier) III (D40) Рестайлинг,2011,141000.0,2.5,Дизель,190.0,автомат,серебристый,пикап двойная кабина,полный,1195000.0
Volkswagen Golf Plus II,2013,84218.0,1.6,Бензин,102.0,робот,серебристый,хэтчбек 5 дв.,передний,674000.0
Volkswagen Tiguan I Рестайлинг,2011,81570.0,1.4,Бензин,150.0,механика,чёрный,внедорожник 5 дв.,полный,1050000.0
BMW X5 30d IV (G05),2021,0.0,3.0,Дизель,249.0,автомат,xDrive30d Business Plus,внедорожник 5 дв.,полный,6688700.0
Nissan Almera II (N16) Рестайлинг,2006,224610.0,1.8,Бензин,116.0,автомат,серебристый,седан,передний,327000.0
Chery Tiggo 8 I,2020,19464.0,2.0,Бензин,170.0,вариатор,белый,внедорожник 5 дв.,передний,1987000.0
Kia Ceed I Рестайлинг,2012,97000.0,1.4,Бензин,109.0,механика,бежевый,хэтчбек 5 дв.,передний,505000.0
Land Rover Discovery III,2009,171148.0,2.7,Дизель,190.0,автомат,чёрный,внедорожник 5 дв.,полный,865000.0
BMW X5 30d IV (G05),2021,0.0,3.0,Дизель,249.0,автомат,xDrive30d Business Plus,внедорожник 5 дв.,полный,6673700.0
Hyundai Getz I,2003,217201.0,1.3,Бензин,82.0,механика,голубой,хэтчбек 5 дв.,передний,266000.0
Hyundai Sonata VIII (DN8),2020,14800.0,2.5,Бензин,180.0,автомат,белый,седан,передний,2040000.0
Nissan Note I Рестайлинг,2010,195448.0,1.6,Бензин,110.0,автомат,серый,хэтчбек 5 дв.,передний,585000.0
Kia Sorento II Рестайлинг,2013,178034.0,2.4,Бензин,175.0,автомат,синий,внедорожник 5 дв.,полный,1355302.0
Toyota Land Cruiser 200 Series Рестайлинг 2,2017,148118.0,4.6,Бензин,309.0,автомат,чёрный,внедорожник 5 дв.,полный,5278000.0
BMW X5 30d IV (G05),2021,0.0,3.0,Дизель,249.0,автомат,xDrive30d M Sport Edition 21,внедорожник 5 дв.,полный,7785200.0
Renault Sandero Stepway II Рестайлинг,2019,53452.0,1.6,Бензин,102.0,автомат,белый,хэтчбек 5 дв.,передний,1019000.0
Mazda 6 III (GJ) Рестайлинг 2,2020,14812.0,2.5,Бензин,194.0,автомат,чёрный,седан,передний,2650000.0
Kia Sorento II Рестайлинг,2013,178034.0,2.4,Бензин,175.0,автомат,синий,внедорожник 5 дв.,полный,1355302.0
Mercedes-Benz C-Класс 180 IV (W205) Рестайлинг,2018,26987.0,1.6,Бензин,150.0,автомат,серый,седан,задний,2865000.0
BMW X5 M50d IV (G05),2021,0.0,3.0,Дизель,400.0,автомат,M50d M Special,внедорожник 5 дв.,полный,10757700.0
"Toyota Corolla IX (E120, E130) Рестайлинг",2006,160000.0,1.6,Бензин,110.0,механика,серебристый,седан,передний,478000.0
Toyota Land Cruiser Prado 150 Series Рестайлинг 1,2016,86598.0,2.7,Бензин,163.0,автомат,чёрный,внедорожник 5 дв.,полный,2689000.0
Toyota Hilux VII,2010,196154.0,3.0,Дизель,170.0,автомат,серебристый,пикап двойная кабина,полный,1437000.0
Hyundai Solaris II Рестайлинг,2020,6000.0,1.6,Бензин,123.0,автомат,серый,седан,передний,1299000.0
Toyota RAV4 V (XA50),2021,7803.0,2.0,Бензин,149.0,вариатор,белый,внедорожник 5 дв.,полный,2605000.0
Renault Duster I Рестайлинг,2016,109430.0,2.0,Бензин,143.0,автомат,зелёный,внедорожник 5 дв.,полный,995000.0
Mercedes-Benz V-Класс XL 250 d экстра длинный II,2018,90683.0,2.1,Дизель,190.0,автомат,чёрный,минивэн,полный,5218000.0
BMW X5 30d IV (G05),2021,0.0,3.0,Дизель,249.0,автомат,xDrive30d Business Plus,внедорожник 5 дв.,полный,6688700.0
BMW X5 30d IV (G05),2021,0.0,3.0,Дизель,249.0,автомат,xDrive30d Business Plus,внедорожник 5 дв.,полный,6673700.0
Renault Logan II,2014,205655.0,1.6,Бензин,102.0,механика,серый,седан,передний,510000.0
Geely Coolray I,2021,9222.0,1.5,Бензин,150.0,робот,серый,внедорожник 5 дв.,передний,1730000.0
Renault Logan II,2017,688099.0,1.6,Бензин,82.0,механика,белый,седан,передний,270000.0
Kia Ceed I,2008,195966.0,1.4,Бензин,109.0,механика,красный,хэтчбек 5 дв.,передний,360000.0
BMW X5 40i IV (G05),2021,0.0,3.0,Бензин,340.0,автомат,xDrive40i M Sport Pure,внедорожник 5 дв.,полный,6910000.0
Mercedes-Benz GLC 220 d I (X253),2015,89043.0,2.1,Дизель,170.0,автомат,белый,внедорожник 5 дв.,полный,2495000.0
Kia Soul III,2019,70181.0,1.6,Бензин,123.0,автомат,серый,хэтчбек 5 дв.,передний,1359000.0
Renault Duster I,2012,60279.0,2.0,Бензин,135.0,механика,коричневый,внедорожник 5 дв.,полный,813000.0
Toyota Camry VIII (XV70),2019,83500.0,2.5,Бензин,181.0,автомат,чёрный,седан,передний,1987000.0
Renault Logan I Рестайлинг,2012,208022.0,1.4,Бензин,75.0,механика,бежевый,седан,передний,360000.0
BMW X5 25d IV (G05),2021,0.0,2.0,Дизель,231.0,автомат,xDrive25d Business,внедорожник 5 дв.,полный,6280000.0
Nissan Juke I,2012,44080.0,1.6,Бензин,117.0,вариатор,красный,внедорожник 5 дв.,передний,1080000.0
Volvo XC40 I,2019,32570.0,2.0,Дизель,150.0,автомат,чёрный,внедорожник 5 дв.,полный,3265391.0
Mazda CX-7 I Рестайлинг,2010,123000.0,2.3,Бензин,238.0,автомат,белый,внедорожник 5 дв.,полный,759000.0
Lexus LX 450d III Рестайлинг 2,2016,175820.0,4.5,Дизель,272.0,автомат,серый,внедорожник 5 дв.,полный,4898000.0
BMW X5 30d IV (G05),2021,0.0,3.0,Дизель,249.0,автомат,xDrive30d Business Plus,внедорожник 5 дв.,полный,7119600.0
Nissan Qashqai II,2016,108053.0,2.0,Бензин,144.0,вариатор,синий,внедорожник 5 дв.,передний,1249000.0
Land Rover Freelander II,2010,147234.0,2.2,Дизель,160.0,автомат,чёрный,внедорожник 5 дв.,полный,745000.0
Hyundai Sonata VIII (DN8),2020,29399.0,2.5,Бензин,180.0,автомат,белый,седан,передний,2547000.0
BMW 5 серии 520d xDrive VII (G30/G31) Рестайлинг,2021,1164.0,2.0,Дизель,190.0,автомат,белый,седан,полный,4164000.0
Hyundai ix35 I,2010,140535.0,2.0,Бензин,150.0,механика,зелёный,внедорожник 5 дв.,полный,745000.0
Volvo S40 II Рестайлинг,2008,173090.0,2.4,Бензин,140.0,автомат,чёрный,седан,передний,520000.0
Audi A3 III (8V),2014,86000.0,1.2,Бензин,110.0,робот,пурпурный,хэтчбек 5 дв.,передний,1286000.0
Skoda Octavia III (A7) Рестайлинг,2018,63500.0,1.4,Бензин,150.0,робот,синий,лифтбек,передний,1700000.0
Acura MDX III Рестайлинг 2,2019,2500.0,3.5,Бензин,290.0,автомат,чёрный,внедорожник 5 дв.,полный,5200000.0
LADA (ВАЗ) 2101,1986,61800.0,1.2,Бензин,59.0,механика,зелёный,седан,задний,220000.0
Dodge Caravan III,2000,240000.0,3.0,Бензин,152.0,автомат,синий,минивэн,передний,220000.0
Mercedes-Benz M-Класс 350 II (W164),2005,200000.0,3.5,Бензин,272.0,автомат,чёрный,внедорожник 5 дв.,полный,430000.0
Kia Mohave 6-speed I,2009,215000.0,3.0,Дизель,250.0,автомат,чёрный,внедорожник 5 дв.,полный,1250000.0
Volkswagen Polo V,2015,139800.0,1.6,Бензин,105.0,автомат,белый,седан,передний,725000.0
Porsche Macan S I,2014,59000.0,3.0,Бензин,340.0,робот,белый,внедорожник 5 дв.,полный,2699000.0
Volvo S80 I Рестайлинг,2004,269000.0,2.4,Бензин,170.0,автомат,серебристый,седан,передний,295000.0
Mercedes-Benz C-Класс 180 I (W202),1994,550000.0,1.8,Бензин,122.0,механика,чёрный,седан,задний,200000.0
Lexus RX 350 III Рестайлинг,2015,63445.0,3.5,Бензин,277.0,автомат,коричневый,внедорожник 5 дв.,полный,2750000.0
Ford Focus II Рестайлинг,2008,135821.0,2.0,Бензин,145.0,автомат,чёрный,хэтчбек 5 дв.,передний,515000.0
Toyota Mark II VII (X90),1994,100000.0,2.5,Бензин,280.0,автомат,чёрный,седан,задний,800000.0
Mercedes-Benz GLS 400 I (X166),2017,80358.0,3.0,Бензин,333.0,автомат,белый,внедорожник 5 дв.,полный,4748000.0
Infiniti FX FX37 II (S51),2010,101420.0,3.7,Бензин,333.0,автомат,чёрный,внедорожник 5 дв.,полный,1520000.0
Mitsubishi Pajero IV,2008,264493.0,3.2,Дизель,165.0,автомат,серый,внедорожник 5 дв.,полный,1217000.0
LADA (ВАЗ) Vesta I,2016,142000.0,1.6,Бензин,106.0,механика,серебристый,седан,передний,500000.0
BMW X5 30i II (E70),2010,81627.0,3.0,Бензин,272.0,автомат,чёрный,внедорожник 5 дв.,полный,1649000.0
Toyota Land Cruiser Prado 150 Series Рестайлинг 3,2021,8.0,4.0,Бензин,249.0,автомат,чёрный,внедорожник 5 дв.,полный,6250000.0
Toyota Mark II IX (X110),2000,320000.0,2.0,Бензин,160.0,автомат,белый,седан,задний,420000.0
Chrysler Sebring II,2002,168000.0,2.4,Бензин,152.0,автомат,синий,седан,передний,200000.0
Suzuki Grand Vitara III Рестайлинг 2,2014,127000.0,2.0,Бензин,140.0,автомат,чёрный,внедорожник 5 дв.,полный,1235000.0
Nissan X-Trail II Рестайлинг,2011,179464.0,2.5,Бензин,169.0,вариатор,чёрный,внедорожник 5 дв.,полный,999000.0
LADA (ВАЗ) Priora I Рестайлинг,2013,256119.0,1.6,Бензин,98.0,механика,серебристый,хэтчбек 5 дв.,передний,249000.0
Volkswagen Polo V Рестайлинг,2018,132000.0,1.6,Бензин,110.0,автомат,белый,седан,передний,665000.0
Chevrolet Cruze I,2011,152603.0,1.6,Бензин,124.0,автомат,синий,седан,передний,568000.0
Volkswagen Polo V Рестайлинг,2016,50000.0,1.6,Бензин,110.0,автомат,чёрный,седан,передний,880000.0
ИЖ 2126 «Ода»,2002,63634.0,1.6,Бензин,73.0,механика,синий,хэтчбек 5 дв.,задний,92000.0
Nissan Juke I,2011,75000.0,1.6,Бензин,117.0,механика,коричневый,внедорожник 5 дв.,передний,720000.0
Hyundai Solaris I,2013,216000.0,1.6,Бензин,123.0,механика,чёрный,седан,передний,610000.0
Honda Logo,1997,333000.0,1.3,Бензин,66.0,автомат,серебристый,хэтчбек 5 дв.,передний,99000.0
Toyota Land Cruiser Prado 120 Series,2006,416000.0,4.0,Бензин,249.0,автомат,чёрный,внедорожник 5 дв.,полный,1360000.0
Volkswagen Passat B5,2001,350123.0,1.8,Бензин,150.0,автомат,чёрный,седан,передний,275000.0
Citroen C4 II,2012,55000.0,1.6,Бензин,120.0,автомат,серый,хэтчбек 5 дв.,передний,550000.0
Ford Focus II Рестайлинг,2009,229230.0,2.0,Бензин,145.0,механика,белый,хэтчбек 5 дв.,передний,350000.0
LADA (ВАЗ) 2106,1994,100000.0,1.5,Бензин,72.0,механика,бежевый,седан,задний,65000.0
Ford Focus I Рестайлинг,2004,300000.0,2.0,Бензин,130.0,автомат,голубой,седан,передний,200000.0
Skoda Superb DSG II,2010,170000.0,1.8,Бензин,152.0,робот,пурпурный,лифтбек,передний,650000.0
Mercedes-Benz B-Класс 200 I (W245),2006,138200.0,2.0,Бензин,136.0,вариатор,голубой,хэтчбек 5 дв.,передний,465000.0
Hyundai Solaris I,2013,81000.0,1.6,Бензин,123.0,механика,белый,седан,передний,615000.0
Mazda 6 III (GJ) Рестайлинг,2018,58642.0,2.5,Бензин,192.0,автомат,белый,седан,передний,2077000.0
Nissan Pathfinder III Рестайлинг,2010,136200.0,2.5,Дизель,190.0,автомат,серый,внедорожник 5 дв.,полный,1559000.0
Opel Corsa D,2007,145138.0,1.0,Бензин,60.0,механика,золотистый,хэтчбек 5 дв.,передний,300000.0
Toyota RAV4 III (XA30) Рестайлинг,2011,206000.0,2.0,Бензин,148.0,вариатор,чёрный,внедорожник 5 дв.,полный,1250000.0
Ford Focus II Рестайлинг,2009,225000.0,1.6,Бензин,100.0,механика,серый,седан,передний,430000.0
Kia Picanto I,2005,140250.0,1.0,Бензин,60.0,механика,голубой,хэтчбек 5 дв.,передний,220000.0
LADA (ВАЗ) 2107,2001,89000.0,1.5,Бензин,72.0,механика,фиолетовый,седан,задний,60000.0
Mitsubishi Montero Sport,2000,300000.0,3.0,Бензин,177.0,автомат,синий,внедорожник 5 дв.,полный,250000.0
Skoda Superb II,2008,202000.0,3.6,Бензин,260.0,робот,чёрный,лифтбек,полный,730000.0
Hyundai Santa Fe IV,2019,36000.0,2.2,Дизель,200.0,автомат,красный,внедорожник 5 дв.,полный,2440000.0
LADA (ВАЗ) 2121 (4x4) Urban I Рестайлинг,2018,68000.0,1.7,Бензин,83.0,механика,голубой,внедорожник 3 дв.,полный,550000.0
BMW 7 серии Long 740Li III (E38) Рестайлинг,2000,150000.0,4.4,Бензин,286.0,автомат,зелёный,седан,задний,230000.0
Volkswagen Polo V,2015,152000.0,1.6,Бензин,105.0,автомат,серебристый,седан,передний,620000.0
Mitsubishi Lancer X,2007,220000.0,2.0,Бензин,150.0,механика,красный,седан,передний,465000.0
Subaru Forester IV Рестайлинг,2015,58871.0,2.0,Бензин,150.0,вариатор,чёрный,внедорожник 5 дв.,полный,1730000.0
Skoda Octavia Scout II (A5) Рестайлинг,2010,215000.0,2.0,Дизель,140.0,робот,синий,универсал 5 дв.,полный,845000.0
"Mercedes-Benz S-Класс 500 VI (W222, C217)",2014,130000.0,4.7,Бензин,455.0,автомат,серебристый,седан,полный,2350000.0
Ford Explorer V,2013,102000.0,3.5,Бензин,294.0,автомат,чёрный,внедорожник 5 дв.,полный,1550000.0
Hyundai Getz I Рестайлинг,2008,37389.0,1.4,Бензин,97.0,механика,чёрный,хэтчбек 5 дв.,передний,492000.0
Ford Focus II Рестайлинг,2008,209518.0,1.6,Бензин,115.0,механика,серебристый,седан,передний,260000.0
Porsche Cayenne Turbo II (958),2010,200000.0,4.8,Бензин,500.0,автомат,синий,внедорожник 5 дв.,полный,2021000.0
Volkswagen Transporter T4,1992,300000.0,1.9,Дизель,60.0,механика,белый,фургон,передний,220000.0
Ford Focus II Рестайлинг,2008,270000.0,1.8,Бензин,125.0,механика,серый,хэтчбек 5 дв.,передний,385000.0
Mitsubishi ASX I Рестайлинг 3,2021,0.0,1.6,Бензин,117.0,механика,Invite,внедорожник 5 дв.,передний,1381000.0
Peugeot 306,2001,258654.0,2.0,Дизель,90.0,механика,серебристый,универсал 5 дв.,передний,160000.0
Volkswagen Polo V Рестайлинг,2015,116000.0,1.6,Бензин,105.0,автомат,чёрный,седан,передний,720000.0
Nissan Leaf I (ZE0/AZE0),2014,111300.0,80.0,Электро,109.0,Заряд на199км,белый,хэтчбек 5 дв.,передний,650000.0
Hyundai Solaris I,2011,176100.0,1.4,Бензин,107.0,автомат,бежевый,седан,передний,550000.0
Chrysler Sebring II,2002,285000.0,2.4,Бензин,147.0,автомат,серебристый,купе,передний,230000.0
Mercedes-Benz GLE 300 d II (V167),2021,0.0,2.0,Дизель,245.0,автомат,300 d 4MATIC Sport Plus,внедорожник 5 дв.,полный,6888000.0
Hyundai i40 I Рестайлинг,2017,13000.0,2.0,Бензин,150.0,автомат,серый,седан,передний,980000.0
Hyundai ix35 I,2011,202215.0,2.0,Бензин,150.0,автомат,синий,внедорожник 5 дв.,полный,1099000.0
Mitsubishi Pajero Sport III,2020,23128.0,2.4,Дизель,181.0,автомат,белый,внедорожник 5 дв.,полный,3269000.0
Audi A8 Long III (D4),2010,166958.0,4.2,Бензин,372.0,автомат,синий,седан,полный,1610000.0
BMW 4 серии 420d xDrive F32/F33/F36,2014,97551.0,2.0,Дизель,184.0,автомат,чёрный,купе,полный,2279000.0
Ford Focus II,2006,150000.0,1.8,Бензин,125.0,механика,серебристый,седан,передний,162000.0
Renault Duster I Рестайлинг,2016,86000.0,2.0,Бензин,143.0,автомат,зелёный,внедорожник 5 дв.,полный,1191000.0
Chery Tiggo 5 I Рестайлинг,2017,42663.0,2.0,Бензин,136.0,вариатор,чёрный,внедорожник 5 дв.,передний,1050000.0
Opel Insignia I,2012,211245.0,1.8,Бензин,140.0,механика,чёрный,седан,передний,577000.0
Renault Duster I,2013,165934.0,2.0,Бензин,135.0,механика,красный,внедорожник 5 дв.,полный,711000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,автомат,Ambition,внедорожник 5 дв.,передний,2112469.0
Renault Duster I,2014,73000.0,2.0,Бензин,135.0,механика,чёрный,внедорожник 5 дв.,полный,933000.0
Volkswagen Tiguan II,2017,41854.0,2.0,Дизель,150.0,робот,серый,внедорожник 5 дв.,полный,2340000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,автомат,Style,внедорожник 5 дв.,передний,2170640.0
Land Rover Discovery IV,2011,125171.0,2.7,Дизель,190.0,автомат,коричневый,внедорожник 5 дв.,полный,1447000.0
Suzuki Grand Vitara II Рестайлинг,2004,223830.0,2.0,Бензин,128.0,механика,серебристый,внедорожник 5 дв.,полный,389000.0
Skoda Karoq I,2021,0.0,1.4,Бензин,150.0,автомат,Ambition,внедорожник 5 дв.,передний,1933585.0
