Model,Year,Mileage,V_engine,EngineType,HorsePower,Selector,Color,CarBodyType,Drive,Price
Hyundai Getz I Рестайлинг,2008,37389.0,1.4,Бензин,97.0,механика,чёрный,хэтчбек 5 дв.,передний,492000.0
Chevrolet Cruze I,2011,152603.0,1.6,Бензин,124.0,автомат,синий,седан,передний,568000.0
Great Wall Hover H5,2012,205917.0,2.0,Дизель,150.0,механика,чёрный,внедорожник 5 дв.,полный,636200.0
Skoda Rapid II,2021,0.0,1.6,Бензин,110.0,автомат,Ambition,лифтбек,передний,1330000.0
Renault Duster I,2014,114000.0,1.6,Бензин,102.0,механика,серебристый,внедорожник 5 дв.,передний,749000.0
Great Wall Hover H3 I,2012,142000.0,2.0,Бензин,122.0,механика,чёрный,внедорожник 5 дв.,полный,555000.0
Lifan X60 I Рестайлинг 2,2017,141962.0,1.8,Бензин,128.0,механика,серебристый,внедорожник 5 дв.,передний,627000.0
Mercedes-Benz G-Класс AMG 63 AMG II (W463),2019,23014.0,4.0,Бензин,585.0,автомат,чёрный,внедорожник 5 дв.,полный,17838000.0
Volkswagen Jetta VI Рестайлинг,2016,170500.0,1.4,Бензин,125.0,робот,белый,седан,передний,780000.0
Citroen C4 Picasso I,2010,202550.0,1.6,Бензин,150.0,робот,коричневый,компактвэн,передний,519000.0
Fiat Albea I Рестайлинг,2008,295000.0,1.4,Бензин,77.0,механика,серебристый,седан,передний,245000.0
Hyundai Grand Starex I,2011,95000.0,2.5,Дизель,145.0,автомат,чёрный,минивэн,задний,1519000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,110.0,автомат,Style,лифтбек,передний,1380000.0
Skoda Rapid II,2021,0.0,1.4,Бензин,125.0,робот,Ambition,лифтбек,передний,1370100.0
Audi Q3 40 TFSI II (F3),2021,2872.0,2.0,Бензин,180.0,робот,синий,внедорожник 5 дв.,полный,3386145.0
Chevrolet Captiva I Рестайлинг 2,2014,80263.0,2.4,Бензин,167.0,автомат,чёрный,внедорожник 5 дв.,полный,1599999.0
Mercedes-Benz GLE 300 I (W166),2015,67170.0,3.5,Бензин,249.0,автомат,чёрный,внедорожник 5 дв.,полный,3030000.0
Volkswagen Passat B7,2014,72579.0,1.8,Бензин,152.0,робот,серый,седан,передний,1075000.0
Volkswagen Polo V,2014,130500.0,1.6,Бензин,105.0,механика,жёлтый,седан,передний,524000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,110.0,автомат,Active,лифтбек,передний,1092900.0
Porsche Cayenne Turbo I Рестайлинг (957),2007,128000.0,4.8,Бензин,500.0,автомат,чёрный,внедорожник 5 дв.,полный,1049000.0
Kia Soul I,2010,130283.0,1.6,Бензин,124.0,автомат,красный,хэтчбек 5 дв.,передний,715000.0
BMW X6 30d III (G06),2020,24504.0,3.0,Дизель,249.0,автомат,чёрный,внедорожник 5 дв.,полный,7687000.0
Toyota Camry VII (XV50),2013,193667.0,2.0,Бензин,148.0,автомат,белый,седан,передний,975000.0
Skoda Rapid II,2021,0.0,1.4,Бензин,125.0,робот,Style,лифтбек,передний,1464000.0
Mercedes-Benz G-Класс 500 II (W463) Рестайлинг 3,2014,97185.0,5.5,Бензин,388.0,автомат,чёрный,внедорожник 5 дв.,полный,3885000.0
ИЖ 2126 «Ода»,2002,63634.0,1.6,Бензин,73.0,механика,синий,хэтчбек 5 дв.,задний,92000.0
Volkswagen Passat B7,2014,72579.0,1.8,Бензин,152.0,робот,серый,седан,передний,1075000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,110.0,автомат,Active,лифтбек,передний,1140000.0
Toyota Verso I Рестайлинг,2014,140000.0,1.8,Бензин,147.0,вариатор,серебристый,компактвэн,передний,1096000.0
Toyota Crown VIII (S130),1991,112000.0,2.0,Бензин,170.0,автомат,серебристый,универсал 5 дв.,задний,650000.0
Kia Rio 5-speed III,2012,191411.0,1.6,Бензин,123.0,механика,бежевый,седан,передний,694000.0
Mercedes-Benz GLA 250 II (H247),2020,16717.0,2.0,Бензин,224.0,робот,серый,внедорожник 5 дв.,полный,3930000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,110.0,автомат,Style,лифтбек,передний,1400000.0
Opel Astra K,2017,77750.0,1.6,Дизель,136.0,автомат,серебристый,универсал 5 дв.,передний,1457000.0
Hyundai Getz I Рестайлинг,2008,37389.0,1.4,Бензин,97.0,механика,чёрный,хэтчбек 5 дв.,передний,492000.0
Mazda CX-5 I,2012,96699.0,2.0,Бензин,150.0,автомат,белый,внедорожник 5 дв.,полный,1385000.0
BMW X6 M I (E71) Рестайлинг,2014,59300.0,4.4,Бензин,555.0,автомат,белый,внедорожник 5 дв.,полный,1999000.0
Volkswagen Jetta VII,2020,36000.0,1.6,Бензин,110.0,автомат,белый,седан,передний,2014000.0
Lexus NX 200t I,2016,86119.0,2.0,Бензин,238.0,автомат,белый,внедорожник 5 дв.,полный,2598000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,90.0,механика,Active,лифтбек,передний,1081000.0
"Mercedes-Benz S-Класс AMG 63 AMG Long III (W222, C217)",2016,78550.0,5.5,Бензин,585.0,автомат,чёрный,седан,полный,5055000.0
BMW M5 V (F10),2012,72000.0,4.4,Бензин,560.0,робот,серый,седан,задний,1998000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,90.0,механика,Active,лифтбек,передний,1100000.0
Volkswagen Jetta VI Рестайлинг,2016,170500.0,1.4,Бензин,125.0,робот,белый,седан,передний,780000.0
Kia Optima IV Рестайлинг,2020,20000.0,2.0,Бензин,150.0,автомат,белый,седан,передний,1465000.0
Mercedes-Benz GLE 300 I (W166),2015,67170.0,3.5,Бензин,249.0,автомат,чёрный,внедорожник 5 дв.,полный,3030000.0
Mercedes-Benz V-Класс L 220 d длинный II,2016,165774.0,2.1,Дизель,163.0,автомат,чёрный,минивэн,полный,3185000.0
Mercedes-Benz GLE 300 I (W166),2016,59928.0,3.5,Бензин,249.0,автомат,чёрный,внедорожник 5 дв.,полный,3190000.0
Lexus RX 300 IV Рестайлинг,2020,16475.0,2.0,Бензин,238.0,автомат,чёрный,внедорожник 5 дв.,полный,4800000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,90.0,механика,Active,лифтбек,передний,1100000.0
Toyota Land Cruiser Prado 150 Series Рестайлинг 1,2014,97600.0,2.7,Бензин,163.0,автомат,чёрный,внедорожник 5 дв.,полный,2249000.0
Haval H6,2019,19045.0,1.5,Бензин,143.0,автомат,серый,внедорожник 5 дв.,передний,1499000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,90.0,механика,Active,лифтбек,передний,1100000.0
Audi Q3 I (8U),2013,72200.0,2.0,Бензин,170.0,робот,белый,внедорожник 5 дв.,полный,1499000.0
Kia Sportage II Рестайлинг,2010,233000.0,2.0,Бензин,141.0,механика,коричневый,внедорожник 5 дв.,передний,570000.0
Mazda 6 III (GJ) Рестайлинг 2,2019,55586.0,2.5,Бензин,231.0,автомат,красный,седан,передний,2317000.0
"Mercedes-Benz CLA 200 II (C118, X118)",2020,15355.0,1.3,Бензин,150.0,робот,бежевый,седан,передний,2997000.0
Renault Duster I Рестайлинг,2016,75000.0,1.6,Бензин,114.0,механика,белый,внедорожник 5 дв.,передний,725000.0
Chevrolet TrailBlazer II,2014,152000.0,2.8,Дизель,180.0,автомат,голубой,внедорожник 5 дв.,полный,1485000.0
Skoda Rapid II,2021,0.0,1.4,Бензин,125.0,робот,Ambition,лифтбек,передний,1400000.0
BMW X1 20d I (E84) Рестайлинг,2012,179000.0,2.0,Дизель,184.0,автомат,синий,внедорожник 5 дв.,полный,1120000.0
"Mercedes-Benz S-Класс AMG 63 AMG III (W222, C217)",2015,48500.0,5.5,Бензин,585.0,автомат,серый,купе,полный,6240000.0
Volkswagen Beetle II (A5),2014,147500.0,1.2,Бензин,105.0,робот,красный,хэтчбек 3 дв.,передний,985000.0
Mercedes-Benz AMG GT 63 I Рестайлинг,2019,60001.0,4.0,Бензин,585.0,робот,белый,лифтбек,полный,10500000.0
Land Rover Freelander II Рестайлинг 2,2013,90000.0,2.2,Дизель,150.0,автомат,белый,внедорожник 5 дв.,полный,1940000.0
Toyota Land Cruiser 200 Series Рестайлинг 1,2013,190000.0,4.5,Дизель,235.0,автомат,чёрный,внедорожник 5 дв.,полный,2900000.0
BMW X3 20d xDrive II (F25),2011,115000.0,2.0,Дизель,184.0,автомат,серебристый,внедорожник 5 дв.,полный,1370000.0
LADA (ВАЗ) 2110,2004,101731.0,1.5,Бензин,79.0,механика,серый,седан,передний,239000.0
Toyota Camry VI (XV40) Рестайлинг,2011,295000.0,3.5,Бензин,277.0,автомат,чёрный,седан,передний,970000.0
Volvo XC90 I,2005,215000.0,2.5,Бензин,210.0,автомат,серый,внедорожник 5 дв.,полный,655000.0
LADA (ВАЗ) 2121 (4x4) I Рестайлинг,2019,9500.0,1.7,Бензин,83.0,механика,белый,внедорожник 3 дв.,полный,1500000.0
Volkswagen Tiguan II,2018,90000.0,2.0,Бензин,220.0,робот,чёрный,внедорожник 5 дв.,полный,2490000.0
Skoda Octavia III (A7),2014,109100.0,1.8,Бензин,180.0,робот,чёрный,лифтбек,передний,1029000.0
Porsche Cayenne GTS II Рестайлинг (958),2015,86000.0,3.6,Бензин,440.0,автомат,чёрный,внедорожник 5 дв.,полный,4435000.0
Dodge Challenger III Рестайлинг 2,2019,58990.0,3.6,Бензин,309.0,автомат,чёрный,купе,полный,3299000.0
Volkswagen Touareg III,2019,61000.0,3.0,Дизель,249.0,автомат,чёрный,внедорожник 5 дв.,полный,5250000.0
BMW M4 GTS F82/F83,2016,62.0,3.0,Бензин,500.0,робот,серый,купе,задний,18000000.0
Toyota Highlander III (U50) Рестайлинг,2019,29609.0,3.5,Бензин,249.0,автомат,белый,внедорожник 5 дв.,полный,3795000.0
BMW X5 50i III (F15),2013,123000.0,4.4,Бензин,450.0,автомат,синий,внедорожник 5 дв.,полный,2099000.0
Mercedes-Benz GLA 200 II (H247),2021,0.0,1.3,Бензин,150.0,робот,GLA 200 Progressive,внедорожник 5 дв.,передний,3479000.0
Opel Corsa D Рестайлинг II,2012,63773.0,1.2,Бензин,85.0,робот,красный,хэтчбек 3 дв.,передний,505000.0
SEAT Leon III,2013,197000.0,1.8,Бензин,180.0,робот,голубой,хэтчбек 5 дв.,передний,1020000.0
Opel Astra GTC H Рестайлинг,2006,260000.0,1.8,Бензин,140.0,механика,серый,хэтчбек 3 дв.,передний,620000.0
LADA (ВАЗ) 2105,2004,150000.0,1.5,Бензин,71.0,механика,зелёный,седан,задний,65000.0
Chrysler Voyager IV,2001,213568.0,2.4,Бензин,150.0,автомат,синий,минивэн,передний,345000.0
Honda Civic VI,1999,200000.0,1.4,Бензин,75.0,автомат,красный,хэтчбек 3 дв.,передний,180000.0
Honda Fit III,2016,54580.0,1.5,Гибрид,110.0,робот,чёрный,хэтчбек 5 дв.,передний,1200000.0
Nissan Almera Classic I,2009,190200.0,1.6,Бензин,107.0,механика,серебристый,седан,передний,440000.0
Peugeot 308 I,2008,130000.0,1.6,Бензин,120.0,автомат,синий,хэтчбек 5 дв.,передний,300000.0
Audi A6 III (C6),2005,290000.0,2.4,Бензин,177.0,вариатор,синий,седан,передний,460000.0
Hyundai Solaris I,2011,155000.0,1.6,Бензин,123.0,автомат,белый,седан,передний,390000.0
LADA (ВАЗ) 21099,2002,65700.0,1.5,Бензин,78.0,механика,серый,седан,передний,220000.0
Porsche Panamera 4 I Рестайлинг,2016,79000.0,3.6,Бензин,310.0,робот,синий,хэтчбек 5 дв.,полный,3350000.0
Mitsubishi Lancer X,2008,190000.0,1.5,Бензин,109.0,автомат,красный,седан,передний,520000.0
LADA (ВАЗ) 2115,2004,222222.0,1.5,Бензин,78.0,механика,серый,седан,передний,38000.0
Land Rover Range Rover Evoque 9-speed I,2015,88055.0,2.2,Дизель,190.0,автомат,коричневый,внедорожник 5 дв.,полный,2150000.0
LADA (ВАЗ) 2110,2002,329005.0,1.5,Бензин,79.0,механика,зелёный,седан,передний,55000.0
Hyundai ix35 I Рестайлинг,2014,87282.0,2.0,Бензин,150.0,автомат,коричневый,внедорожник 5 дв.,полный,1200000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,110.0,автомат,Ambition,лифтбек,передний,1330000.0
BMW X5 40i IV (G05),2020,20080.0,3.0,Бензин,340.0,автомат,белый,внедорожник 5 дв.,полный,5885000.0
LADA (ВАЗ) Vesta SW I,2019,24789.0,1.6,Бензин,106.0,робот,серый,универсал 5 дв.,передний,969000.0
Audi A3 III (8V),2014,86000.0,1.2,Бензин,110.0,робот,пурпурный,хэтчбек 5 дв.,передний,1286000.0
Honda CR-V III Рестайлинг,2012,180000.0,2.0,Бензин,150.0,автомат,серый,внедорожник 5 дв.,полный,1440000.0
Nissan Juke I,2012,121000.0,1.6,Бензин,117.0,вариатор,белый,внедорожник 5 дв.,передний,759000.0
BMW X6 M I (E71) Рестайлинг,2014,59300.0,4.4,Бензин,555.0,автомат,белый,внедорожник 5 дв.,полный,1999000.0
Skoda Rapid II,2021,0.0,1.4,Бензин,125.0,робот,Style,лифтбек,передний,1500600.0
Lexus GS 250 IV,2013,164077.0,2.5,Бензин,208.0,автомат,чёрный,седан,задний,1998000.0
Nissan Juke I,2012,90269.0,1.6,Бензин,117.0,вариатор,коричневый,внедорожник 5 дв.,передний,912000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,110.0,автомат,Active,лифтбек,передний,1100800.0
Hyundai Tucson II,2011,130000.0,2.0,Дизель,184.0,автомат,белый,внедорожник 5 дв.,полный,1100000.0
Toyota Camry VIII (XV70) Рестайлинг,2021,6627.0,2.0,Бензин,150.0,вариатор,чёрный,седан,передний,2325000.0
Opel Astra K,2017,77750.0,1.6,Дизель,136.0,автомат,серебристый,универсал 5 дв.,передний,1457000.0
Skoda Rapid II,2021,0.0,1.6,Бензин,90.0,механика,Active,лифтбек,передний,997400.0
Toyota Camry VI (XV40) Рестайлинг,2011,196268.0,2.4,Бензин,167.0,автомат,чёрный,седан,передний,955000.0
Citroen Berlingo I Рестайлинг,2007,206299.0,1.4,Бензин,75.0,механика,красный,фургон,передний,385000.0
Mitsubishi Pajero Sport III,2018,92940.0,2.4,Дизель,181.0,механика,белый,внедорожник 5 дв.,полный,2355000.0
Audi A6 IV (C7) Рестайлинг,2015,132000.0,1.8,Бензин,190.0,робот,белый,седан,передний,1729500.0
Nissan X-Trail III,2017,111600.0,2.0,Бензин,144.0,вариатор,серебристый,внедорожник 5 дв.,полный,1625000.0
Skoda Rapid II,2021,0.0,1.4,Бензин,125.0,робот,Ambition,лифтбек,передний,1357100.0
"Toyota Corolla X (E140, E150) Рестайлинг",2011,187884.0,1.6,Бензин,124.0,автомат,серый,седан,передний,819000.0
Mercedes-Benz C-Класс 180 IV (W205) Рестайлинг,2019,40719.0,1.5,Бензин,150.0,автомат,синий,седан,задний,3094000.0
Kia Optima IV Рестайлинг,2020,20000.0,2.0,Бензин,150.0,автомат,белый,седан,передний,1465000.0
Chevrolet TrailBlazer II,2014,152000.0,2.8,Дизель,180.0,автомат,голубой,внедорожник 5 дв.,полный,1485000.0
Skoda Rapid II,2021,0.0,1.4,Бензин,125.0,робот,Style,лифтбек,передний,1438600.0
